Price,Close,High,Low,Open,Volume,Returns,Volatility-20d
Ticker,CL=F,CL=F,CL=F,CL=F,CL=F,,
Date,,,,,,,
2017-01-10,50.81999969482422,52.369998931884766,50.709999084472656,51.83000183105469,632573,-0.02193994245063613,0.2780857797478828
2017-01-11,52.25,52.779998779296875,50.75,50.810001373291016,815846,0.02813853431253399,0.28109704507169847
2017-01-12,53.0099983215332,53.5,52.119998931884766,52.369998931884766,660703,0.014545422421688103,0.28591690519588087
2017-01-13,52.369998931884766,53.16999816894531,52.27000045776367,53.04999923706055,477986,-0.012073182605411681,0.25569248272845424
2017-01-17,52.47999954223633,53.52000045776367,52.119998931884766,52.54999923706055,606023,0.0021004508801811816,0.255226409136142
2017-01-18,51.08000183105469,52.790000915527344,50.90999984741211,52.52000045776367,236238,-0.026676785887829735,0.26470447175539874
2017-01-19,51.369998931884766,51.869998931884766,51.02000045776367,51.38999938964844,122593,0.0056773118722515115,0.2651066983705522
2017-01-20,52.41999816894531,52.900001525878906,51.38999938964844,51.45000076293945,567231,0.020439931066629224,0.275369266792099
2017-01-23,52.75,53.470001220703125,52.209999084472656,53.33000183105469,455333,0.006295342285040029,0.27570395968787276
2017-01-24,53.18000030517578,53.560001373291016,52.66999816894531,52.86000061035156,520285,0.008151664553095461,0.2754659696138603
2017-01-25,52.75,53.470001220703125,52.560001373291016,52.95000076293945,589709,-0.008085752213392361,0.27705018067627135
2017-01-26,53.779998779296875,54.060001373291016,52.790000915527344,52.959999084472656,578065,0.01952604320941953,0.2795759576228983
2017-01-27,53.16999816894531,54.08000183105469,52.58000183105469,53.7400016784668,495556,-0.011342518114492606,0.28218850414902996
2017-01-30,52.630001068115234,53.459999084472656,52.40999984741211,53.150001525878906,486309,-0.010156048888966707,0.2837520337830671
2017-01-31,52.810001373291016,53.560001373291016,52.2400016784668,52.599998474121094,586676,0.0034201083321814263,0.28416949536867453
2017-02-01,53.880001068115234,53.90999984741211,52.63999938964844,52.7599983215332,577243,0.02026130783941582,0.277062028981179
2017-02-02,53.540000915527344,54.34000015258789,53.349998474121094,53.56999969482422,492553,-0.00631032193481329,0.2715582286612884
2017-02-03,53.83000183105469,54.220001220703125,53.400001525878906,53.68000030517578,462616,0.005416528027051948,0.27017764006965794
2017-02-06,53.0099983215332,54.130001068115234,52.90999984741211,53.810001373291016,425085,-0.015233206049203973,0.275106685383137
